profile,language,recommendations_1,recommendations_2,recommendations_3
Australia,english,"Australia must reverse the continuing decline of its development assistance budget, which has hit historically low levels, and set itself back on a path towards meeting its international aid commitments.",Australia needs to take further steps to improve the transparency of its aid programme.,
Canada,english,"Canada must set out a plan to get back on track with increases to its aid budget by 2020, in order to contribute to the SDGs and make a significant impact for women and girls through its new policies.","Canada should ensure that funds channelled through its new development finance institution clearly promote economic development and poverty reduction, and should be targeted to the poorest countries and fragile states.",
EU Institutions,english,"The EU must ensure that every new commitment to deal with short-term crises is additional to planned ODA, so that EU aid can continue to focus on long-term poverty eradication, particularly for life-saving health, nutrition and education programmes.","The EU must scale up aid invested in longterm development, especially in the poorest and most fragile African countries.","The EU must ensure that ODA used to leverage private investment supports only projects that would not otherwise have received financial investment, benefits local actors and stimulates sustainable growth in the most fragile and poorest regions."
EU Countries,english,,,
France,english,"From its 2018 budget onwards, France needs to set a path to reach the 0.7% ODA/GNI target by 2022. This trajectory should be translated into law and ODA should increase significantly from 2018 onwards.","France should double the share of its ODA allocated to fragile states and LDCs in Africa by 2022, to reach a proportion of 58% of ODA targeted towards the continent’s poorest and most fragile countries.","France should improve its aid transparency by making sure that relevant data from all French agencies and ministries are made available in open data format and on a single, centralised online platform."
Germany,english,"Germany should uphold the target of spending 0.7% ODA/GNI, even as in-donor refugee costs decline over the coming years.","To maximise the effects of development cooperation in reducing poverty, Germany should focus funds on LDCs and fragile states and should strengthen multilateral funding mechanisms.",
Italy,english,"Ahead of the 2018 elections, political parties should commit to investing 0.5% ODA/GNI by the end of the next Parliament.","Italy must improve the quality of its aid by ensuring that it focuses on poverty eradication, particularly in LDCs and fragile states, and that it takes ambitious steps to improve transparency.",Italy should support public registers for EU companies and trusts as part of the revision of the EU’s Anti-Money Laundering Directive.
Japan,english,"Japan should prioritise its aid towards the poorest countries, particularly in Africa.","Japan should improve its performance on facilitating financial transparency, focusing specifically on improvements on a range of policies, including public company ownership and country-by-country reporting.",
Netherlands,english,"The new Dutch government should restore the development budget to the internationally agreed goal of 0.7% ODA/GNI, aiming to spend 50% on LDCs and fragile states, and it should make in-donor refugee costs additional to ODA.",The next Minister for Foreign Trade and Development Cooperation should add education to the development agenda to complement the current focus on employment and empowerment.,
Sweden,english,The Swedish government should immediately amend its 2017 financial budget and reallocate money back into the aid budget as a result of the lower number of asylum seekers.,The Swedish government should honour its commitment to provide 1% of GNI in aid in 2017.,
United States,english,The US Congress must reject President Trump’s proposed budget cuts to life-saving assistance and maintain funding to these programmes at a time when the world is facing unprecedented needs.,"The United States should work to improve the transparency of its aid, by increasing what it publishes in regards to aid budgets and results.",The United States must prioritise its aid to the world’s most vulnerable people.
United Kingdom,english,"As DFID looks to modernise ODA, and to use aid as a soft power tool, an emphasis should be kept on poverty reduction and alleviation of suffering as the primary purposes of aid.","Before further ODA is spent by other departments and in cross-departmental funds, there is a need to ensure that all departments and funds spending ODA reach the same levels of transparency and accountability as DFID, to ensure that UK aid continues to demonstrate effectiveness and efficiency.",
Australia,german,"Australiens Entwicklungsbudget ist 2016 auf ein historisches Tief gesunken. Australien muss diesen Trend umkehren und darauf hinarbeiten, internationale Verpflichtungen zur Entwicklungsfinanzierung einzuhalten.","Australien muss weitere Schritte unternehmen, um die Transparenz ihrer Entwicklungsprojekte zu erhöhen.",
Canada,german,"Kanada muss das Entwicklungsbudget bis 2020 wieder erhöhen und hierzu einen Plan vorlegen, um zur Erreichung der SDGs beitragen und durch seine neuen Policies zur Stärkung von Mädchen und Frauen beitragen.","Kanada muss sicherstellen, dass Gelder, die durch ihre neue Entwicklungsfinanzierungsinstitution kanalisiert werden, einen klaren Beitrag zu wirtschaftlicher Entwicklung und Armutsreduzierung leisten. Ebenso sollten diese Gelder vor allem LDCs und fragilen Staaten zukommen.",
EU Institutions,german,"Die EU muss sicherstellen, dass neue Verpflichtungen, die zur Bewältigung kurzfristiger Krisen dienen, tatsächlich zusätzlich zu geplanten ODA-Mitteln sind. Dies ist zentral für das langfristige Ziel Armut zu beenden, vor allem für lebensrettende Programme in den Bereichen Gesundheit, Ernährung und Bildung.","Die EU muss den Anteil an ODA, der in langfristige Entwicklungsprogramme investiert wird, erhöhen, insbesondere in LDCs und fragilen afrikanischen Staaten.","Die EU muss sicherstellen, dass ODA, die dazu verwendet wird, private Investitionen zu hebeln, nur dort investiert wird, wo ansonsten keinerlei Investitionen zustande gekommen wären. Außerdem müssen lokale Akteure profitieren und nachhaltiges Wachstum stimuliert werden, besonders in den fragilsten und ärmsten Regionen."
EU Countries,german,,,
France,german,"Frankreich muss ab 2018 für sein Entwicklungsbudget einen Plan festlegen, um das Ziel, 0,7% des BNE für ODA auszugeben, bis 2022 zu erreichen. Dies sollte gesetzlich festgeschrieben werden und ODA sollte ab 2018 signifikant steigen.","Frankreich sollte den ODA-Anteil an fragile Staaten und LDCs in Afrika bis 2022 verdoppeln, damit 58% der Entwicklungsgelder für die ärmsten und fragilsten Länder zur Verfügung gestellt werden.","Frankreich sollte die Transparenz im Entwicklungsbereich erhöhen. Dazu gehört etwa, dass alle relevanten Daten französischer Institutionen und Ministerien im Open Data Format auf einer zentralen Online-Plattform öffentlich zugänglich sind."
Germany,german,"Deutschland muss einen Plan vorlegen, wie das Ziel, 0,7 Prozent des BNE für ODA auszugeben,
gehalten werden kann, wenn die Inlandsflüchtlingskosten in den kommenden Jahren wieder sinken.","Zur Maximierung der Effekte von Entwicklungszusammenarbeit
für die Armutsreduzierung muss Deutschland seine Mittel auf LDCs und fragile Staaten konzentrieren. Zudem muss es multilaterale Finanzierungsinstrumente stärken.",
Italy,german,"Vor den Wahlen im Jahr 2018 sollten sich die politischen Parteien in Italien dazu verpflichten, bis zum Ende der nächsten Legislaturperiode 0.5% des BNE für ODA auszugeben.","Italien muss die Qualität von Entwicklungszusammenarbeit verbessern, indem es einen Schwerpunkt auf Armutsreduzierung legt, besonders in LDCs und fragilen Staaten. Italien sollte außerdem ambitionierte Schritte unternehmen, um Transparenz zu verbessern.",Italien sollte im Rahmen der Revision der EU-Geldwäscherichtlinie öffentlich zugängliche Register für Unternehmen und Trusts in der EU unterstützen.
Japan,german,"Japan sollte in seiner Entwicklungszusammenarbeit die ärmsten Länder, insbesondere in Afrika, priorisieren.","Japan sollte die Effektivität von Projekten verbessern, etwa durch eine Erhöhung der Finanztransparenz. Ein besonderer Fokus sollte hier auf dem öffentlichen Register für wirtschaftlich Berechtigte sowie dem ,,Country-by-Country Reporting"" liegen.",
Netherlands,german,"Die neu gewählte niederländische Regierung sollte das Entwicklungsbudget wieder aufstocken, um das Ziel, 0,7% des BNE für ODA auszugeben, wieder zu erreichen. Dabei sollten 50% der Gelder an LDCs und fragile Staaten gehen und Inlandsflüchtlingskosten aus ODA ausgeklammert werden.",Der nächste Minister oder die nächste Ministerin für Außenhandel und wirtschaftliche Zusammenarbeit sollte Bildung auf die Entwicklungsagenda setzen und damit den aktuellen Fokus auf Beschäftigung und Beteiligung ergänzen.,
Sweden,german,"Die schwedische Regierung sollte das Budget für 2017 unverzüglich überarbeiten und Gelder wieder dem Entwicklungsbudget zuweisen. Dies ist insbesondere wichtig, da die Zahl der Asylsuchenden 2016 gesunken ist.","Schweden sollte sein Versprechen einhalten, im Jahr 2017 1% des BNE für ODA auszugeben.",
United States,german,"Der US-Kongress muss die von Präsident Trump vorgeschlagenen Budgetkürzungen für lebensrettende Maßnahmen ablehnen. Da der Bedarf für diese Programme weltweit noch nie so groß war, muss die Finanzierung erhalten bleiben. ","Die USA sollten die Transparenz im Entwicklungsbereich verbessern, etwa indem sie mehr Informationen zu Entwicklungsbudgets und Ergebnissen veröffentlichen.","Die USA müssen bei ihrer Entwicklungszusammenarbeit die Menschen priorisieren, die weltweit am stärksten gefährdet sind."
United Kingdom,german,"DFID treibt die Modernisierung von ODA voran und hat sich zum Ziel gesetzt, ODA als ,,Soft Power"" Instrument einzusetzen. In diesem Zusammenhang muss sichergestellt werden, dass das Ziel von ODA weiterhin Armutsreduzierung und Verbesserung von Lebensumständen bleibt.","Bevor ODA von anderen Ministerien ausgegeben und in ministeriumsübergreifende Fonds investiert wird, muss sichergestellt werden, dass alle Ministerien und Fonds den gleichen Regeln von Transparenz und Rechenschaft folgen wie DFID. Nur so kann ODA weiterhin effizient und effektiv sein.",
Australia,french,"L’Australie devrait infléchir le déclin continu de son budget d’aide au développement, qui a chuté à un niveau historiquement bas, et retrouver le cap de ses engagements internationaux en matière d’aide.",L’Australie devrait prendre des mesures supplémentaires pour améliorer la transparence de son programme d’aide.,
Canada,french,"Le Canada devrait élaborer un plan pour augmenter à nouveau son budget d’aide d’ici 2020, en vue de contribuer à la réalisation des ODD et d’avoir un impact significatif pour les femmes et les filles au travers de ses nouvelles politiques.","Le Canada devrait veiller à ce que les fonds octroyés par le biais de sa nouvelle IFD favorisent le développement économique et la réduction de la pauvreté, et qu’ils ciblent les pays les plus pauvres et les plus fragiles.",
EU Institutions,french,"L’UE devrait veiller à ce que chaque nouvel engagement pris en réponse à une crise à court terme soit additionnel à l’APD planifiée, de sorte que l’aide de l’UE reste centrée sur l’éradication de la pauvreté à long terme, en particulier par des programmes sanitaires, nutritionnels et éducatifs qui sauvent des vies.","L’UE devrait accroître l’aide investie dans le développement à long terme, particulièrement dans les pays africains les plus pauvres et les plus fragiles.","L’UE devrait s’assurer que l’APD utilisée pour obtenir des investissements privés soutienne uniquement des projets qui n’auraient pas reçu d’investissement financier autrement, qu’elle bénéficie aux acteurs locaux et qu’elle stimule la croissance durable dans les régions les plus fragiles et les plus pauvres."
EU Countries,french,,,
France,french,"Dès son budget pour 2018, la France devrait définir une trajectoire pour atteindre l’objectif de 0,7 % du RNB alloué à l’ADP d’ici 2022. Cette trajectoire doit être transposée en loi et l’ADP doit augmenter de manière significative à partir de 2018.",La France devrait doubler la part de son APD allouée aux États fragiles et aux PMA d’Afrique d’ici 2022 pour atteindre une proportion de 58 % de l’APD affectée aux pays les plus pauvres et les plus fragiles du continent.,"La France devrait améliorer la transparence de son aide en mettant à disposition les données pertinentes de toutes les agences et ministères français concernés, sans restriction d’accès, sur une plateforme en ligne unique et centralisée."
