"Donor","Donor_Group_Type","Donor_DAC_Country","Donor_EU_Country","as_of_date","Constant_price_date","Time_Period","Africa_Fragile_ODA_Constant Prices","Africa_Fragile_ODA_Current Prices","Africa_Fragile_ODA_National currency","Africa_ODA_Bilateral_Constant Prices","Africa_ODA_Bilateral_Current Prices","Africa_ODA_Bilateral_National currency","Africa_ODA_Constant Prices","Africa_ODA_Current Prices","Africa_ODA_National currency","Bilat_ODA_Ex_Debt_Relief_Constant Prices","Bilat_ODA_Ex_Debt_Relief_Current Prices","Bilat_ODA_Ex_Debt_Relief_National currency","Fragile_State_ODA_Bilateral_Constant Prices","Fragile_State_ODA_Bilateral_Current Prices","Fragile_State_ODA_Bilateral_National currency","Fragile_State_ODA_Constant Prices","Fragile_State_ODA_Current Prices","Fragile_State_ODA_National currency","GNI_Constant Prices","GNI_Current Prices","GNI_National currency","IA_Bilateral_ODA_Constant Prices","IA_Bilateral_ODA_Current Prices","IA_Bilateral_ODA_National currency","IA6_Debt_Relief_Constant Prices","IA6_Debt_Relief_Current Prices","IA6_Debt_Relief_National currency","IA82_In_Donor_Refugee_Cost_Constant Prices","IA82_In_Donor_Refugee_Cost_Current Prices","IA82_In_Donor_Refugee_Cost_National currency","IB_Multilateral_ODA_Constant Prices","IB_Multilateral_ODA_Current Prices","IB_Multilateral_ODA_National currency","LDC_ODA_Bilateral_Constant Prices","LDC_ODA_Bilateral_Current Prices","LDC_ODA_Bilateral_National currency","LDC_ODA_Constant Prices","LDC_ODA_Current Prices","LDC_ODA_Imputed_Multilateral_Constant Prices","LDC_ODA_Imputed_Multilateral_Current Prices","LDC_ODA_Imputed_Multilateral_National currency","LDC_ODA_National currency","Population_Constant Prices","Population_Current Prices","Population_National currency","SSA_ODA_Bilateral_Constant Prices","SSA_ODA_Bilateral_Current Prices","SSA_ODA_Bilateral_National currency","SSA_ODA_Constant Prices","SSA_ODA_Current Prices","SSA_ODA_National currency","Total_ODA_ONE_Constant Prices","Total_ODA_ONE_Current Prices","Total_ODA_ONE_National currency"
"All Donors, Total","Group","Group","Group","2017-05-16",2015,2007,34907.93,NA,NA,33560.2,NA,NA,47020.49,NA,NA,78279.266972,NA,NA,43289.86,NA,NA,58242.23,NA,NA,0,NA,NA,86555.937782,NA,NA,8276.67081,NA,NA,1921.309813,NA,NA,29339.263214,NA,NA,30829.44,NA,NA,42728.49,NA,11899.05,NA,NA,NA,0,NA,NA,29408.92,NA,NA,41553.11,NA,NA,107618.530186,NA,NA
"All Donors, Total","Group","Group","Group","2017-05-16",2015,2008,39216.01,NA,NA,38992.74,NA,NA,53728.12,NA,NA,91071.259529,NA,NA,46901.98,NA,NA,62654.58,NA,NA,0,NA,NA,98799.546364,NA,NA,7728.286835,NA,NA,2425.661129,NA,NA,31859.220074,NA,NA,34869.15,NA,NA,47795.26,NA,12926.11,NA,NA,NA,0,NA,NA,34347.99,NA,NA,47825.56,NA,NA,122930.479603,NA,NA
"All Donors, Total","Group","Group","Group","2017-05-16",2015,2009,41392.43,NA,NA,42541.7,NA,NA,57583.7,NA,NA,95467.474687,NA,NA,51391.52,NA,NA,67154.81,NA,NA,0,NA,NA,97124.137088,NA,NA,1656.662401,NA,NA,3113.161345,NA,NA,34207.11732,NA,NA,37729.25,NA,NA,49951.71,NA,12222.46,NA,NA,NA,0,NA,NA,37757.57,NA,NA,51405.22,NA,NA,129674.592007,NA,NA
"All Donors, Total","Group","Group","Group","2017-05-16",2015,2010,42399.01,NA,NA,40987.26,NA,NA,57271.11,NA,NA,98307.940186,NA,NA,51919.27,NA,NA,69896.85,NA,NA,0,NA,NA,101767.497088,NA,NA,3459.556902,NA,NA,3305.859686,NA,NA,35956.296599,NA,NA,39206.67,NA,NA,53523.35,NA,14316.68,NA,NA,NA,0,NA,NA,37295.68,NA,NA,52381.43,NA,NA,134264.236785,NA,NA
"All Donors, Total","Group","Group","Group","2017-05-16",2015,2011,40875.3,NA,NA,42408.66,NA,NA,57351.24,NA,NA,102326.010539,NA,NA,50921.47,NA,NA,65934.28,NA,NA,0,NA,NA,106020.927737,NA,NA,3694.917198,NA,NA,4032.235653,NA,NA,35741.898028,NA,NA,37205.44,NA,NA,49230.33,NA,12024.89,NA,NA,NA,0,NA,NA,37312.33,NA,NA,50673.14,NA,NA,138067.908567,NA,NA
"All Donors, Total","Group","Group","Group","2017-05-16",2015,2012,44056.61,NA,NA,44231.63,NA,NA,59914.71,NA,NA,97791.339397,NA,NA,51687.65,NA,NA,68024.26,NA,NA,0,NA,NA,100455.051302,NA,NA,2663.711905,NA,NA,4012.967416,NA,NA,35618.872902,NA,NA,38285.65,NA,NA,49870.99,NA,11585.34,NA,NA,NA,0,NA,NA,38294.23,NA,NA,52117.81,NA,NA,133410.212299,NA,NA
"All Donors, Total","Group","Group","Group","2017-05-16",2015,2013,51385.8,NA,NA,50493.94,NA,NA,66532.35,NA,NA,108445.504568,NA,NA,61615.11,NA,NA,79372.06,NA,NA,0,NA,NA,111545.246742,NA,NA,3099.742174,NA,NA,4332.89461,NA,NA,38079.157103,NA,NA,40692.43,NA,NA,54435.78,NA,13743.35,NA,NA,NA,0,NA,NA,41074.62,NA,NA,55577.63,NA,NA,146524.661671,NA,NA
"All Donors, Total","Group","Group","Group","2017-05-16",2015,2014,48527.82,NA,NA,48701.02,NA,NA,65733.83,NA,NA,119770.609838,NA,NA,58874.47,NA,NA,77143.82,NA,NA,0,NA,NA,120569.040569,NA,NA,798.430731,NA,NA,5965.762651,NA,NA,39085.459846,NA,NA,39133.93,NA,NA,52372.08,NA,13238.15,NA,NA,NA,0,NA,NA,40134.21,NA,NA,54929.94,NA,NA,158856.069684,NA,NA
"All Donors, Total","Group","Group","Group","2017-05-16",2015,2015,49229.31,NA,NA,50893.47,NA,NA,67030.43,NA,NA,123569.44,NA,NA,63272.29,NA,NA,80397.06,NA,NA,0,NA,NA,124479.04,NA,NA,909.6,NA,NA,12115.2,NA,NA,38260.13,NA,NA,42735.1,NA,NA,55213.15,NA,12478.05,NA,NA,NA,0,NA,NA,42582.94,NA,NA,56851.38,NA,NA,161829.57,NA,NA
"All Donors, Total","Group","Group","Group","2017-05-16",2015,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,126218.415318,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,129210.209344,NA,NA,2991.794026,NA,NA,0,NA,NA,41999.711658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,168218.126976,NA,NA
