"Donor","Donor_Group_Type","Donor_DAC_Country","Donor_EU_Country","as_of_date","Time_Period","Africa_Fragile_ODA_Constant Prices","Africa_Fragile_ODA_Current Prices","Africa_Fragile_ODA_National currency","Africa_ODA_Bilateral_Constant Prices","Africa_ODA_Bilateral_Current Prices","Africa_ODA_Bilateral_National currency","Africa_ODA_Constant Prices","Africa_ODA_Current Prices","Africa_ODA_National currency","Bilat_ODA_Ex_Debt_Relief_Constant Prices","Bilat_ODA_Ex_Debt_Relief_Current Prices","Bilat_ODA_Ex_Debt_Relief_National currency","Fragile_State_ODA_Bilateral_Constant Prices","Fragile_State_ODA_Bilateral_Current Prices","Fragile_State_ODA_Bilateral_National currency","Fragile_State_ODA_Constant Prices","Fragile_State_ODA_Current Prices","Fragile_State_ODA_National currency","GNI_Constant Prices","GNI_Current Prices","GNI_National currency","IA_Bilateral_ODA_Constant Prices","IA_Bilateral_ODA_Current Prices","IA_Bilateral_ODA_National currency","IA6_Debt_Relief_Constant Prices","IA6_Debt_Relief_Current Prices","IA6_Debt_Relief_National currency","IA82_In_Donor_Refugee_Cost_Constant Prices","IA82_In_Donor_Refugee_Cost_Current Prices","IA82_In_Donor_Refugee_Cost_National currency","IB_Multilateral_ODA_Constant Prices","IB_Multilateral_ODA_Current Prices","IB_Multilateral_ODA_National currency","LDC_ODA_Bilateral_Constant Prices","LDC_ODA_Bilateral_Current Prices","LDC_ODA_Bilateral_National currency","LDC_ODA_Constant Prices","LDC_ODA_Current Prices","LDC_ODA_Imputed_Multilateral_Constant Prices","LDC_ODA_Imputed_Multilateral_Current Prices","LDC_ODA_Imputed_Multilateral_National currency","LDC_ODA_National currency","SSA_ODA_Bilateral_Constant Prices","SSA_ODA_Bilateral_Current Prices","SSA_ODA_Bilateral_National currency","SSA_ODA_Constant Prices","SSA_ODA_Current Prices","SSA_ODA_National currency","Total_ODA_ONE_Constant Prices","Total_ODA_ONE_Current Prices","Total_ODA_ONE_National currency"
"All Donors, Total","Group","Group","Group","2018-01-02",2007,34907.93,37021.09,NA,33560.2,35499.12,NA,47020.49,50094.95,NA,78279.267,81340.58,NA,43289.86,44524.77,NA,58242.23,60692.99,NA,0,0,NA,86555.939,90374.58,NA,8276.672,9034,NA,1921.308,1956.33,NA,29339.26,31793.44,NA,30829.44,32297.79,NA,42728.49,45143.86,11899.05,12846.07,NA,NA,29408.92,31022.56,NA,41553.11,44157.52,NA,107618.527,113134.02,NA
"All Donors, Total","Group","Group","Group","2018-01-02",2008,39216.01,43357.34,NA,38992.74,42940.09,NA,53728.12,59797.29,NA,91071.262,99037.44,NA,46901.98,50246.24,NA,62654.58,68249.68,NA,0,0,NA,98799.548,108017.33,NA,7728.286,8979.89,NA,2425.66,2626.68,NA,31859.218,36404.4,NA,34869.15,37958.95,NA,47795.26,52715.8,12926.11,14756.85,NA,NA,34347.99,37665.1,NA,47825.56,53069.86,NA,122930.48,135441.84,NA
"All Donors, Total","Group","Group","Group","2018-01-02",2009,41392.43,43975.66,NA,42541.7,45159.39,NA,57583.7,61708.1,NA,95467.476,100779.58,NA,51391.52,53209.77,NA,67154.81,70534.25,NA,0,0,NA,97124.138,102527.38,NA,1656.662,1747.8,NA,3113.158,3226.07,NA,34207.119,37624.83,NA,37729.25,39521.34,NA,49951.71,52952.97,12222.46,13431.63,NA,NA,37757.57,39840.07,NA,51405.22,54844.01,NA,129674.595,138404.41,NA
"All Donors, Total","Group","Group","Group","2018-01-02",2010,42399.01,45138.4,NA,40987.26,43515.3,NA,57271.11,61247.71,NA,98307.939,104454.37,NA,51919.27,54447.49,NA,69896.85,74095.3,NA,0,0,NA,101767.497,108386.73,NA,3459.558,3932.36,NA,3305.861,3513.46,NA,35956.297,39256.88,NA,39206.67,41448.62,NA,53523.35,57087.61,14316.68,15638.99,NA,NA,37295.68,39400.21,NA,52381.43,55825.23,NA,134264.236,143711.25,NA
"All Donors, Total","Group","Group","Group","2018-01-02",2011,40875.3,46003.93,NA,42408.66,47610.8,NA,57351.24,64965.95,NA,102326.013,115437.616,NA,50921.47,56548.51,NA,65934.28,74015.05,NA,0,0,NA,106020.932,119577.356,NA,3694.919,4139.74,NA,4032.235,4654.637,NA,35741.899,41670.688,NA,37205.44,41495.18,NA,49230.33,55494.24,12024.89,13999.06,NA,NA,37312.33,41628.61,NA,50673.14,57130.77,NA,138067.912,157108.304,NA
"All Donors, Total","Group","Group","Group","2018-01-02",2012,44056.61,48319.46,NA,44231.63,48293.48,NA,59914.71,65848.91,NA,97791.337,107605.29,NA,51687.65,56748.58,NA,68024.26,75125.19,NA,0,0,NA,100455.051,110605.092,NA,2663.714,2999.802,NA,4012.968,4451.367,NA,35618.872,40009.099,NA,38285.65,41979.27,NA,49870.99,55035.56,11585.34,13056.29,NA,NA,38294.23,41629.51,NA,52117.81,57120.49,NA,133410.209,147614.389,NA
"All Donors, Total","Group","Group","Group","2018-01-02",2013,51385.8,56700.92,NA,50493.94,55723.17,NA,66532.35,73752.82,NA,108445.508,120576.484,NA,61615.11,67836.24,NA,79372.06,87798.57,NA,0,0,NA,111545.25,124219.063,NA,3099.742,3642.579,NA,4332.895,4960.253,NA,38079.157,42843.253,NA,40692.43,44797.56,NA,54435.78,60244.41,13743.35,15446.85,NA,NA,41074.62,45085.79,NA,55577.63,61356.92,NA,146524.665,163419.737,NA
"All Donors, Total","Group","Group","Group","2018-01-02",2014,48528.4,53842.65,NA,48519.19,53834.32,NA,65552,72990.24,NA,119770.609,133492.92,NA,58856.11,65044.34,NA,77125.46,85553.36,NA,0,0,NA,120569.041,134473.21,NA,798.432,980.29,NA,5965.763,6787.21,NA,39085.462,44121.5,NA,39136.49,43221.88,NA,52374.64,58090.77,13238.15,14868.89,NA,NA,39980.8,44073.88,NA,54776.53,60687.56,NA,158856.071,177614.42,NA
"All Donors, Total","Group","Group","Group","2018-01-02",2015,49238.63,49238.63,NA,50763.34,50763.34,NA,66900.3,66900.3,NA,123622.53,123622.53,NA,63295.62,63295.62,NA,80420.39,80420.39,NA,0,0,NA,124532.13,124532.13,NA,909.6,909.6,NA,12115.2,12115.2,NA,38241.56,38241.56,NA,42755.61,42755.61,NA,55233.66,55233.66,12478.05,12478.05,NA,NA,42454.52,42454.52,NA,56722.96,56722.96,NA,161864.09,161864.09,NA
"All Donors, Total","Group","Group","Group","2018-01-02",2016,50890.15,50525.89,NA,49843.18,49586.7,NA,68821.78,68381.07,NA,130601.869,130084.02,NA,67648.45,67217.03,NA,87373.81,86781.27,NA,0,0,NA,133544.72,133021.81,NA,2942.851,2937.79,NA,16055.328,16026.83,NA,43927.585,43544.64,NA,42893.54,42780.57,NA,57886.73,57647.09,14993.19,14866.52,NA,NA,41713.32,41456.83,NA,57751.73,57336.89,NA,174529.454,173628.66,NA
