"Donor","Donor_Group_Type","Donor_DAC_Country","Donor_EU_Country","as_of_date","Time_Period","Africa_Fragile_ODA_Constant Prices","Africa_Fragile_ODA_Current Prices","Africa_Fragile_ODA_National currency","Africa_ODA_Bilateral_Constant Prices","Africa_ODA_Bilateral_Current Prices","Africa_ODA_Bilateral_National currency","Africa_ODA_Constant Prices","Africa_ODA_Current Prices","Africa_ODA_National currency","Bilat_ODA_Ex_Debt_Relief_Constant Prices","Bilat_ODA_Ex_Debt_Relief_Current Prices","Bilat_ODA_Ex_Debt_Relief_National currency","Fragile_State_ODA_Bilateral_Constant Prices","Fragile_State_ODA_Bilateral_Current Prices","Fragile_State_ODA_Bilateral_National currency","Fragile_State_ODA_Constant Prices","Fragile_State_ODA_Current Prices","Fragile_State_ODA_National currency","GNI_Constant Prices","GNI_Current Prices","GNI_National currency","IA_Bilateral_ODA_Constant Prices","IA_Bilateral_ODA_Current Prices","IA_Bilateral_ODA_National currency","IA6_Debt_Relief_Constant Prices","IA6_Debt_Relief_Current Prices","IA6_Debt_Relief_National currency","IA82_In_Donor_Refugee_Cost_Constant Prices","IA82_In_Donor_Refugee_Cost_Current Prices","IA82_In_Donor_Refugee_Cost_National currency","IB_Multilateral_ODA_Constant Prices","IB_Multilateral_ODA_Current Prices","IB_Multilateral_ODA_National currency","LDC_ODA_Bilateral_Constant Prices","LDC_ODA_Bilateral_Current Prices","LDC_ODA_Bilateral_National currency","LDC_ODA_Constant Prices","LDC_ODA_Current Prices","LDC_ODA_Imputed_Multilateral_Constant Prices","LDC_ODA_Imputed_Multilateral_Current Prices","LDC_ODA_Imputed_Multilateral_National currency","LDC_ODA_National currency","SSA_ODA_Bilateral_Constant Prices","SSA_ODA_Bilateral_Current Prices","SSA_ODA_Bilateral_National currency","SSA_ODA_Constant Prices","SSA_ODA_Current Prices","SSA_ODA_National currency","Total_ODA_ONE_Constant Prices","Total_ODA_ONE_Current Prices","Total_ODA_ONE_National currency"
"All Donors, Total","Group","Group","Group","2018-04-10",2007,NA,37021.09,NA,NA,35499.12,NA,NA,50094.95,NA,78537.116707,81340.58,NA,NA,44524.77,NA,NA,60692.99,NA,0,0,NA,87051.383943,90374.58,NA,8514.267236,9034,NA,1919.529107,1956.33,NA,29274.06498,31793.44,NA,NA,32297.79,NA,NA,45143.86,NA,12846.07,NA,NA,NA,31022.56,NA,NA,44157.52,NA,107811.181687,113134.02,NA
"All Donors, Total","Group","Group","Group","2018-04-10",2008,NA,43357.34,NA,NA,42940.09,NA,NA,59797.29,NA,91296.939451,99037.44,NA,NA,50246.24,NA,NA,68249.68,NA,0,0,NA,99192.782686,108017.33,NA,7895.843235,8979.89,NA,2419.814641,2626.68,NA,31826.452156,36404.4,NA,NA,37958.95,NA,NA,52715.8,NA,14756.85,NA,NA,NA,37665.1,NA,NA,53069.86,NA,123123.391607,135441.84,NA
"All Donors, Total","Group","Group","Group","2018-04-10",2009,NA,43975.66,NA,NA,45159.39,NA,NA,61708.1,NA,95671.626158,100779.58,NA,NA,53209.77,NA,NA,70534.25,NA,0,0,NA,97248.352141,102527.38,NA,1576.725983,1747.8,NA,3091.853015,3226.07,NA,34197.883334,37624.83,NA,NA,39521.34,NA,NA,52952.97,NA,13431.63,NA,NA,NA,39840.07,NA,NA,54844.01,NA,129869.509492,138404.41,NA
"All Donors, Total","Group","Group","Group","2018-04-10",2010,NA,45138.4,NA,NA,43515.3,NA,NA,61247.71,NA,98428.285284,104454.37,NA,NA,54447.49,NA,NA,74095.3,NA,0,0,NA,101907.739853,108386.73,NA,3479.454569,3932.36,NA,3288.169204,3513.46,NA,35830.95774,39256.88,NA,NA,41448.62,NA,NA,57087.61,NA,15638.99,NA,NA,NA,39400.21,NA,NA,55825.23,NA,134259.243024,143711.25,NA
"All Donors, Total","Group","Group","Group","2018-04-10",2011,NA,46003.93,NA,NA,47610.8,NA,NA,64965.95,NA,102437.095277,115437.616497,NA,NA,56548.51,NA,NA,74015.05,NA,0,0,NA,106149.322514,119577.356312,NA,3712.227237,4139.739815,NA,4015.690083,4654.637128,NA,35607.850095,41670.687927,NA,NA,41495.18,NA,NA,55494.24,NA,13999.06,NA,NA,NA,41628.61,NA,NA,57130.77,NA,138044.945372,157108.304424,NA
"All Donors, Total","Group","Group","Group","2018-04-10",2012,NA,48319.46,NA,NA,48293.48,NA,NA,65848.91,NA,97765.284839,107605.290367,NA,NA,56748.58,NA,NA,75125.19,NA,0,0,NA,100430.982178,110605.0923,NA,2665.697339,2999.801933,NA,3994.850623,4451.36663,NA,35518.873043,40009.099,NA,NA,41979.27,NA,NA,55035.56,NA,13056.29,NA,NA,NA,41629.51,NA,NA,57120.49,NA,133284.157882,147614.389367,NA
"All Donors, Total","Group","Group","Group","2018-04-10",2013,NA,56700.92,NA,NA,55723.17,NA,NA,73752.82,NA,108262.494515,120576.484806,NA,NA,67836.24,NA,NA,87798.57,NA,0,0,NA,111577.495261,124219.0627,NA,3315.000746,3642.577894,NA,4324.503317,4960.253292,NA,37721.638573,42843.253,NA,NA,44797.56,NA,NA,60244.41,NA,15446.85,NA,NA,NA,45085.79,NA,NA,61356.92,NA,145984.133088,163419.737806,NA
"All Donors, Total","Group","Group","Group","2018-04-10",2014,NA,53842.65,NA,NA,53834.32,NA,NA,72990.24,NA,119582.612687,133490.24,NA,NA,65044.34,NA,NA,85553.36,NA,0,0,NA,120377.832067,134470.53,NA,795.21938,980.29,NA,5950.075631,6787.21,NA,38737.413461,44081.7,NA,NA,43221.88,NA,NA,58090.77,NA,14868.89,NA,NA,NA,44073.88,NA,NA,60687.56,NA,158320.026148,177571.94,NA
"All Donors, Total","Group","Group","Group","2018-04-10",2015,NA,49238.63,NA,NA,50763.34,NA,NA,66900.3,NA,123261.741796,123630.52,NA,NA,63295.62,NA,NA,80420.39,NA,0,0,NA,124152.416569,124540.12,NA,890.674773,909.6,NA,12101.233637,12120.82,NA,37904.604011,38241.56,NA,NA,42755.61,NA,NA,55233.66,NA,12478.05,NA,NA,NA,42454.52,NA,NA,56722.96,NA,161166.345807,161872.08,NA
"All Donors, Total","Group","Group","Group","2018-04-10",2016,NA,50525.89,NA,NA,49586.7,NA,NA,68381.07,NA,130086.91,130086.91,NA,NA,67217.03,NA,NA,86781.27,NA,0,0,NA,133024.7,133024.7,NA,2937.79,2937.79,NA,16026.9,16026.9,NA,43550.65,43550.65,NA,NA,42780.57,NA,NA,57647.09,NA,14866.52,NA,NA,NA,41456.83,NA,NA,57336.89,NA,173637.56,173637.56,NA
