"Donor","Donor_Group_Type","Donor_DAC_Country","Donor_EU_Country","as_of_date","Time_Period","Africa_Fragile_ODA_Constant Prices","Africa_Fragile_ODA_Current Prices","Africa_Fragile_ODA_National currency","Africa_ODA_Bilateral_Constant Prices","Africa_ODA_Bilateral_Current Prices","Africa_ODA_Bilateral_National currency","Africa_ODA_Constant Prices","Africa_ODA_Current Prices","Africa_ODA_National currency","Bilat_ODA_Ex_Debt_Relief_Constant Prices","Bilat_ODA_Ex_Debt_Relief_Current Prices","Bilat_ODA_Ex_Debt_Relief_National currency","Fragile_State_ODA_Bilateral_Constant Prices","Fragile_State_ODA_Bilateral_Current Prices","Fragile_State_ODA_Bilateral_National currency","Fragile_State_ODA_Constant Prices","Fragile_State_ODA_Current Prices","Fragile_State_ODA_National currency","GNI_Constant Prices","GNI_Current Prices","GNI_National currency","IA_Bilateral_ODA_Constant Prices","IA_Bilateral_ODA_Current Prices","IA_Bilateral_ODA_National currency","IA6_Debt_Relief_Constant Prices","IA6_Debt_Relief_Current Prices","IA6_Debt_Relief_National currency","IA82_In_Donor_Refugee_Cost_Constant Prices","IA82_In_Donor_Refugee_Cost_Current Prices","IA82_In_Donor_Refugee_Cost_National currency","IB_Multilateral_ODA_Constant Prices","IB_Multilateral_ODA_Current Prices","IB_Multilateral_ODA_National currency","LDC_ODA_Bilateral_Constant Prices","LDC_ODA_Bilateral_Current Prices","LDC_ODA_Bilateral_National currency","LDC_ODA_Constant Prices","LDC_ODA_Current Prices","LDC_ODA_Imputed_Multilateral_Constant Prices","LDC_ODA_Imputed_Multilateral_Current Prices","LDC_ODA_Imputed_Multilateral_National currency","LDC_ODA_National currency","SSA_ODA_Bilateral_Constant Prices","SSA_ODA_Bilateral_Current Prices","SSA_ODA_Bilateral_National currency","SSA_ODA_Constant Prices","SSA_ODA_Current Prices","SSA_ODA_National currency","Total_ODA_Constant Prices","Total_ODA_Current Prices","Total_ODA_Ex_DR_Constant Prices","Total_ODA_Ex_DR_Current Prices","Total_ODA_Ex_DR_National currency","Total_ODA_National currency"
"All Donors, Total","Group","Group","Group","2018-04-10",2007,39143.12,41576.63,NA,37939.11,40116.3,NA,51335.5,54712.13,NA,78537.116707,81340.58,NA,52748.45,54486.04,NA,67642.02,70654.26,NA,0,0,NA,87051.383943,90374.58,NA,8514.267236,9034,NA,1919.529107,1956.33,NA,29274.06498,31793.44,NA,33294.21,34809.41,NA,45147.25,47655.48,11853.04,12846.07,NA,NA,33607.74,35451.21,NA,45695.41,48586.17,NA,116325.448923,122168.02,107811.181687,113134.02,NA,NA
"All Donors, Total","Group","Group","Group","2018-04-10",2008,40590.61,44947.67,NA,40943.93,45115.45,NA,55644.68,61972.65,NA,91296.939451,99037.44,NA,54356.94,58654.43,NA,70093.87,76657.87,NA,0,0,NA,99192.782686,108017.33,NA,7895.843235,8979.89,NA,2419.814641,2626.68,NA,31826.452156,36404.4,NA,35941.77,39129.32,NA,48855.39,53886.17,12913.62,14756.85,NA,NA,36134.14,39672.84,NA,49580.4,55077.6,NA,131019.234842,144421.73,123123.391607,135441.84,NA,NA
"All Donors, Total","Group","Group","Group","2018-04-10",2009,43585.79,46540.37,NA,45193.07,48186.06,NA,60206.62,64734.77,NA,95671.626158,100779.58,NA,53708.96,55816.74,NA,69479.47,73141.22,NA,0,0,NA,97248.352141,102527.38,NA,1576.725983,1747.8,NA,3091.853015,3226.07,NA,34197.883334,37624.83,NA,38601.8,40445.12,NA,50828.28,53876.75,12226.48,13431.63,NA,NA,40298.65,42733.58,NA,53928.85,57737.52,NA,131446.235475,140152.21,129869.509492,138404.41,NA,NA
"All Donors, Total","Group","Group","Group","2018-04-10",2010,45879.37,49163.88,NA,44776.28,47819.5,NA,60990.48,65551.91,NA,98428.285284,104454.37,NA,55774.37,58697.53,NA,73714.9,78345.34,NA,0,0,NA,101907.739853,108386.73,NA,3479.454569,3932.36,NA,3288.169204,3513.46,NA,35830.95774,39256.88,NA,41855.89,44346.41,NA,56142.59,59985.4,14286.7,15638.99,NA,NA,40984.54,43597.18,NA,56010.51,60022.2,NA,137738.697593,147643.61,134259.243024,143711.25,NA,NA
"All Donors, Total","Group","Group","Group","2018-04-10",2011,44113.34,49750.36,NA,45966.82,51644.44,NA,60830.42,68999.59,NA,102437.095277,115437.616497,NA,54353.06,60320.62,NA,69313.16,77787.16,NA,0,0,NA,106149.322514,119577.356312,NA,3712.227237,4139.739815,NA,4015.690083,4654.637128,NA,35607.850095,41670.687927,NA,40573.56,45231.59,NA,52565.46,59230.65,11991.9,13999.06,NA,NA,40781.83,45559.01,NA,54076.21,61061.17,NA,141757.172609,161248.044239,138044.945372,157108.304424,NA,NA
"All Donors, Total","Group","Group","Group","2018-04-10",2012,47031.96,51790.68,NA,47314.2,51841.3,NA,62942.28,69396.73,NA,97765.284839,107605.290367,NA,54815.07,60244.77,NA,71128.43,78621.38,NA,0,0,NA,100430.982178,110605.0923,NA,2665.697339,2999.801933,NA,3994.850623,4451.36663,NA,35518.873043,40009.099,NA,39364.54,43124.05,NA,50944.81,56180.34,11580.27,13056.29,NA,NA,41329.92,45104.24,NA,55115.95,60595.22,NA,135949.855221,150614.1913,133284.157882,147614.389367,NA,NA
"All Donors, Total","Group","Group","Group","2018-04-10",2013,52084.58,57751.05,NA,51331.56,56791.84,NA,67206.91,74821.49,NA,108262.494515,120576.484806,NA,64937.83,71505.3,NA,82550,91467.63,NA,0,0,NA,111577.495261,124219.0627,NA,3315.000746,3642.577894,NA,4324.503317,4960.253292,NA,37721.638573,42843.253,NA,43575.12,47908.67,NA,57216.84,63355.52,13641.72,15446.85,NA,NA,41879.37,46082.37,NA,56233.8,62353.5,NA,149299.133834,167062.3157,145984.133088,163419.737806,NA,NA
"All Donors, Total","Group","Group","Group","2018-04-10",2014,48434.41,54077.9,NA,48566.54,54082.88,NA,65436.12,73238.8,NA,119582.612687,133490.24,NA,59407.31,65882.49,NA,77545.25,86391.51,NA,0,0,NA,120377.832067,134470.53,NA,795.21938,980.29,NA,5950.075631,6787.21,NA,38737.413461,44081.7,NA,39709.13,43949.1,NA,52855.31,58817.99,13146.18,14868.89,NA,NA,39984.71,44262.26,NA,54655.26,60875.94,NA,159115.245528,178552.23,158320.026148,177571.94,NA,NA
"All Donors, Total","Group","Group","Group","2018-04-10",2015,49186.26,49505.04,NA,50842.54,51044.1,NA,66810.23,67181.06,NA,123261.741796,123630.52,NA,63347.33,63619.36,NA,80334.66,80744.13,NA,0,0,NA,124152.416569,124540.12,NA,890.674773,909.6,NA,12101.233637,12120.82,NA,37904.604011,38241.56,NA,42914.26,43010.05,NA,55290.86,55488.1,12376.6,12478.05,NA,NA,42514.63,42713.5,NA,56646.69,56981.94,NA,162057.02058,162781.68,161166.345807,161872.08,NA,NA
"All Donors, Total","Group","Group","Group","2018-04-10",2016,50880.04,50880.04,NA,49953.53,49953.53,NA,68747.9,68747.9,NA,130086.91,130086.91,NA,67624.56,67624.56,NA,87188.8,87188.8,NA,0,0,NA,133024.7,133024.7,NA,2937.79,2937.79,NA,16026.9,16026.9,NA,43550.65,43550.65,NA,43069.08,43069.08,NA,57935.6,57935.6,14866.52,14866.52,NA,NA,41808.21,41808.21,NA,57688.27,57688.27,NA,176575.35,176575.35,173637.56,173637.56,NA,NA
