"Donor","Donor_Group_Type","Donor_DAC_Country","Donor_EU_Country","as_of_date","Constant_price_date","Time_Period","Africa_Fragile_ODA_Constant_Prices","Africa_Fragile_ODA_Current_Prices","Africa_ODA_Bilateral_Constant_Prices","Africa_ODA_Bilateral_Current_Prices","Africa_ODA_Constant_Prices","Africa_ODA_Current_Prices","Bilat_ODA_Ex_Debt_Relief_Constant_Prices","Bilat_ODA_Ex_Debt_Relief_Current_Prices","Fragile_State_ODA_Bilateral_Constant_Prices","Fragile_State_ODA_Bilateral_Current_Prices","Fragile_State_ODA_Constant_Prices","Fragile_State_ODA_Current_Prices","GNI_Constant_Prices","GNI_Current_Prices","IA_Bilateral_ODA_Constant_Prices","IA_Bilateral_ODA_Current_Prices","IA6_Debt_Relief_Constant_Prices","IA6_Debt_Relief_Current_Prices","IA82_In_Donor_Refugee_Cost_Constant_Prices","IA82_In_Donor_Refugee_Cost_Current_Prices","IB_Multilateral_ODA_Constant_Prices","IB_Multilateral_ODA_Current_Prices","LDC_ODA_Bilateral_Constant_Prices","LDC_ODA_Bilateral_Current_Prices","LDC_ODA_Constant_Prices","LDC_ODA_Current_Prices","LDC_ODA_Imputed_Multilateral_Constant_Prices","LDC_ODA_Imputed_Multilateral_Current_Prices","SSA_ODA_Bilateral_Constant_Prices","SSA_ODA_Bilateral_Current_Prices","SSA_ODA_Constant_Prices","SSA_ODA_Current_Prices","Total_ODA_ONE_Constant_Prices","Total_ODA_ONE_Current_Prices"
"All Donors, Total","Group","Group","Group","2018-01-02",2016,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"All Donors, Total","Group","Group","Group","2018-01-02",2016,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"All Donors, Total","Group","Group","Group","2018-01-02",2016,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"All Donors, Total","Group","Group","Group","2018-01-02",2016,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"All Donors, Total","Group","Group","Group","2018-01-02",2016,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"All Donors, Total","Group","Group","Group","2018-01-02",2016,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"All Donors, Total","Group","Group","Group","2018-01-02",2016,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"All Donors, Total","Group","Group","Group","2018-01-02",2016,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"All Donors, Total","Group","Group","Group","2018-01-02",2016,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"All Donors, Total","Group","Group","Group","2018-01-02",2016,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"All Donors, Total","Group","Group","Group","2018-01-02",NA,2007,NA,37021.09,NA,35499.12,NA,50094.95,NA,81340.58,NA,44524.77,NA,60692.99,NA,0,NA,90374.58,NA,9034,NA,1956.33,NA,31793.44,NA,32297.79,NA,45143.86,NA,12846.07,NA,31022.56,NA,44157.52,NA,113134.02
"All Donors, Total","Group","Group","Group","2018-01-02",NA,2008,NA,43357.34,NA,42940.09,NA,59797.29,NA,99037.44,NA,50246.24,NA,68249.68,NA,0,NA,108017.33,NA,8979.89,NA,2626.68,NA,36404.4,NA,37958.95,NA,52715.8,NA,14756.85,NA,37665.1,NA,53069.86,NA,135441.84
"All Donors, Total","Group","Group","Group","2018-01-02",NA,2009,NA,43975.66,NA,45159.39,NA,61708.1,NA,100779.58,NA,53209.77,NA,70534.25,NA,0,NA,102527.38,NA,1747.8,NA,3226.07,NA,37624.83,NA,39521.34,NA,52952.97,NA,13431.63,NA,39840.07,NA,54844.01,NA,138404.41
