Donor,Donor_Group_Type,Donor_DAC_Country,Donor_EU_Country,as_of_date,Time_Period,Africa_Fragile_ODA_Constant Prices,Africa_Fragile_ODA_Current Prices,Africa_Fragile_ODA_National currency,Africa_ODA_Bilateral_Constant Prices,Africa_ODA_Bilateral_Current Prices,Africa_ODA_Bilateral_National currency,Africa_ODA_Constant Prices,Africa_ODA_Current Prices,Africa_ODA_National currency,Bilat_ODA_Ex_Debt_Relief_Constant Prices,Bilat_ODA_Ex_Debt_Relief_Current Prices,Bilat_ODA_Ex_Debt_Relief_National currency,Fragile_State_ODA_Bilateral_Constant Prices,Fragile_State_ODA_Bilateral_Current Prices,Fragile_State_ODA_Bilateral_National currency,Fragile_State_ODA_Constant Prices,Fragile_State_ODA_Current Prices,Fragile_State_ODA_National currency,GNI_Constant Prices,GNI_Current Prices,GNI_National currency,IA_Bilateral_ODA_Constant Prices,IA_Bilateral_ODA_Current Prices,IA_Bilateral_ODA_National currency,IA6_Debt_Relief_Constant Prices,IA6_Debt_Relief_Current Prices,IA6_Debt_Relief_National currency,IA82_In_Donor_Refugee_Cost_Constant Prices,IA82_In_Donor_Refugee_Cost_Current Prices,IA82_In_Donor_Refugee_Cost_National currency,IB_Multilateral_ODA_Constant Prices,IB_Multilateral_ODA_Current Prices,IB_Multilateral_ODA_National currency,LDC_ODA_Bilateral_Constant Prices,LDC_ODA_Bilateral_Current Prices,LDC_ODA_Bilateral_National currency,LDC_ODA_Constant Prices,LDC_ODA_Current Prices,LDC_ODA_Imputed_Multilateral_Constant Prices,LDC_ODA_Imputed_Multilateral_Current Prices,LDC_ODA_Imputed_Multilateral_National currency,LDC_ODA_National currency,SSA_ODA_Bilateral_Constant Prices,SSA_ODA_Bilateral_Current Prices,SSA_ODA_Bilateral_National currency,SSA_ODA_Constant Prices,SSA_ODA_Current Prices,SSA_ODA_National currency,Total_ODA_ONE_Constant Prices,Total_ODA_ONE_Current Prices,Total_ODA_ONE_National currency,Release
"All Donors, Total",Group,Group,Group,2017-05-16,2007,34907.93,37021.09,NA,33560.2,35499.12,NA,47020.49,50094.95,NA,78279.266972,81340.58,NA,43289.86,44524.77,NA,58242.23,60692.99,NA,0,0,NA,86555.937782,90374.58,NA,8276.67081,9034,NA,1921.309813,1956.33,NA,29339.263214,31793.44,NA,30829.44,32297.79,NA,42728.49,45143.86,11899.05,12846.07,NA,NA,29408.92,31022.56,NA,41553.11,44157.52,NA,107618.530186,113134.02,NA,Preliminary
"All Donors, Total",Group,Group,Group,2017-05-16,2008,39216.01,43357.34,NA,38992.74,42940.09,NA,53728.12,59797.29,NA,91071.259529,99037.44,NA,46901.98,50246.24,NA,62654.58,68249.68,NA,0,0,NA,98799.546364,108017.33,NA,7728.286835,8979.89,NA,2425.661129,2626.68,NA,31859.220074,36404.4,NA,34869.15,37958.95,NA,47795.26,52715.8,12926.11,14756.85,NA,NA,34347.99,37665.1,NA,47825.56,53069.86,NA,122930.479603,135441.84,NA,Preliminary
"All Donors, Total",Group,Group,Group,2017-05-16,2009,41392.43,43975.66,NA,42541.7,45159.39,NA,57583.7,61708.1,NA,95467.474687,100779.58,NA,51391.52,53209.77,NA,67154.81,70534.25,NA,0,0,NA,97124.137088,102527.38,NA,1656.662401,1747.8,NA,3113.161345,3226.07,NA,34207.11732,37624.83,NA,37729.25,39521.34,NA,49951.71,52952.97,12222.46,13431.63,NA,NA,37757.57,39840.07,NA,51405.22,54844.01,NA,129674.592007,138404.41,NA,Preliminary
"All Donors, Total",Group,Group,Group,2017-05-16,2010,42399.01,45138.4,NA,40987.26,43515.3,NA,57271.11,61247.71,NA,98307.940186,104454.37,NA,51919.27,54447.49,NA,69896.85,74095.3,NA,0,0,NA,101767.497088,108386.73,NA,3459.556902,3932.36,NA,3305.859686,3513.46,NA,35956.296599,39256.88,NA,39206.67,41448.62,NA,53523.35,57087.61,14316.68,15638.99,NA,NA,37295.68,39400.21,NA,52381.43,55825.23,NA,134264.236785,143711.25,NA,Preliminary
"All Donors, Total",Group,Group,Group,2017-05-16,2011,40875.3,46003.93,NA,42408.66,47610.8,NA,57351.24,64965.95,NA,102326.010539,115437.616497,NA,50921.47,56548.51,NA,65934.28,74015.05,NA,0,0,NA,106020.927737,119577.356312,NA,3694.917198,4139.739815,NA,4032.235653,4654.637128,NA,35741.898028,41670.687927,NA,37205.44,41495.18,NA,49230.33,55494.24,12024.89,13999.06,NA,NA,37312.33,41628.61,NA,50673.14,57130.77,NA,138067.908567,157108.304424,NA,Preliminary
"All Donors, Total",Group,Group,Group,2017-05-16,2012,44056.61,48319.46,NA,44231.63,48293.48,NA,59914.71,65848.91,NA,97791.339397,107605.290367,NA,51687.65,56748.58,NA,68024.26,75125.19,NA,0,0,NA,100455.051302,110605.0923,NA,2663.711905,2999.801933,NA,4012.967416,4451.36663,NA,35618.872902,40009.099,NA,38285.65,41979.27,NA,49870.99,55035.56,11585.34,13056.29,NA,NA,38294.23,41629.51,NA,52117.81,57120.49,NA,133410.212299,147614.389367,NA,Preliminary
"All Donors, Total",Group,Group,Group,2017-05-16,2013,51385.8,56700.92,NA,50493.94,55723.17,NA,66532.35,73752.82,NA,108445.504568,120576.484806,NA,61615.11,67836.24,NA,79372.06,87798.57,NA,0,0,NA,111545.246742,124219.0627,NA,3099.742174,3642.577894,NA,4332.89461,4960.253292,NA,38079.157103,42843.253,NA,40692.43,44797.56,NA,54435.78,60244.41,13743.35,15446.85,NA,NA,41074.62,45085.79,NA,55577.63,61356.92,NA,146524.661671,163419.737806,NA,Preliminary
"All Donors, Total",Group,Group,Group,2017-05-16,2014,48527.82,53842.08,NA,48701.02,54050.51,NA,65733.83,73206.43,NA,119770.609838,133492.92,NA,58874.47,65066.82,NA,77143.82,85575.84,NA,0,0,NA,120569.040569,134473.21,NA,798.430731,980.29,NA,5965.762651,6787.21,NA,39085.459846,44121.5,NA,39133.93,43219.45,NA,52372.08,58088.34,13238.15,14868.89,NA,NA,40134.21,44256.4,NA,54929.94,60870.08,NA,158856.069684,177614.42,NA,Preliminary
"All Donors, Total",Group,Group,Group,2017-05-16,2015,49229.31,49229.31,NA,50893.47,50893.47,NA,67030.43,67030.43,NA,123569.44,123569.44,NA,63272.29,63272.29,NA,80397.06,80397.06,NA,0,0,NA,124479.04,124479.04,NA,909.6,909.6,NA,12115.2,12115.2,NA,38260.13,38260.13,NA,42735.1,42735.1,NA,55213.15,55213.15,12478.05,12478.05,NA,NA,42582.94,42582.94,NA,56851.38,56851.38,NA,161829.57,161829.57,NA,Preliminary
"All Donors, Total",Group,Group,Group,2017-05-16,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,126218.415318,125694.92,NA,NA,NA,NA,NA,NA,NA,0,0,NA,129210.209344,128682.19,NA,2991.794026,2987.27,NA,0,0,NA,41999.711658,41633.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168218.126976,167328.16,NA,Preliminary
Australia,Donor,DAC,Non-EU,2017-05-16,2007,169.44,159.81,191.004912,79.28,74.77,89.365104,217.12,204.76,244.729152,2095.583628,1976.38,2362.169376,860.28,811.34,969.713568,1083.25,1021.63,1221.052176,877104.757996,827212.18,988683.997536,2404.866655,2268.07,2710.797264,309.283027,291.69,348.627888,0,0,0,424.602791,400.45,478.61784,542.46,511.59,611.452368,715.78,675.06,173.32,163.47,195.379344,806.831712,70.01,66.03,78.919056,201.22,189.77,226.813104,2520.186419,2376.83,2840.787216,Preliminary
Australia,Donor,DAC,Non-EU,2017-05-16,2008,144.53,143.14,173.614506,70.56,69.9,84.78171,187.72,185.93,225.514497,2420.817577,2396.88,2907.175752,1022.31,1012.22,1227.721638,1170.46,1158.94,1405.678326,944144.215717,934808.31,1133828.999199,2679.475241,2652.98,3217.799442,258.657664,256.1,310.62369,0,0,0,304.107078,301.1,365.20419,633.87,627.62,761.240298,752.68,745.28,118.81,117.66,142.709814,903.950112,65.82,65.2,79.08108,172.27,170.62,206.944998,2724.924655,2697.98,3272.379942,Preliminary
Australia,Donor,DAC,Non-EU,2017-05-16,2009,203.72,191.16,244.6848,99.96,93.8,120.064,243.62,228.61,292.6208,2461.033468,2308.82,2955.2896,1034,970.05,1241.664,1230.92,1154.82,1478.1696,1002535.115391,940528.91,1203877.0048,2464.188612,2311.78,2959.0784,3.155144,2.96,3.7888,1.268453,1.19,1.5232,479.485921,449.83,575.7824,605.59,568.14,727.2192,755.84,709.14,150.25,141,180.48,907.6992,94.18,88.38,113.1264,234.13,219.71,281.2288,2940.519389,2758.65,3531.072,Preliminary
Australia,Donor,DAC,Non-EU,2017-05-16,2010,283.55,329.6,359.32992,163.29,189.82,206.941764,369.31,429.31,468.033762,2820.820667,3279.53,3575.343606,1197.53,1392.22,1517.798244,1475.83,1715.73,1870.488846,1019728.473271,1185552.19,1292488.997538,2827.331848,3287.1,3583.59642,6.511181,7.57,8.252814,4.756516,5.53,6.028806,463.601227,538.99,587.606898,732.93,852.1,928.95942,950.82,1105.39,217.89,253.29,276.136758,1205.096178,129.48,150.51,164.086002,326.35,379.36,413.578272,3284.421894,3818.52,4162.950504,Preliminary
Australia,Donor,DAC,Non-EU,2017-05-16,2011,349.95,478.39,463.655588,283.81,388,376.0496,438.8,599.88,581.403696,3142.58097,4296.02,4163.702584,1283.58,1754.7,1700.65524,1481.54,2025.32,1962.940144,1060945.904568,1450350.8,1405679.99536,3151.907721,4308.77,4176.059884,9.326751,12.75,12.3573,0.01463,0.02,0.019384,493.140054,674.14,653.376488,817.87,1118.05,1083.61406,982.64,1343.33,164.77,225.28,218.341376,1301.955436,221.02,302.17,292.863164,372.48,509.23,493.545716,3635.721024,4970.16,4817.079072,Preliminary
Australia,Donor,DAC,Non-EU,2017-05-16,2012,413.77,565.64,546.40824,287.41,392.93,379.57038,537.71,735.14,710.14524,3314.579102,4531.66,4377.58356,1353.95,1851.07,1788.13362,1685.33,2304.12,2225.77992,1094862.376791,1496885.09,1445990.99694,3320.715776,4540.05,4385.6883,6.136674,8.39,8.10474,112.442294,153.73,148.50318,630.958306,862.64,833.31024,912.51,1247.56,1205.14296,1155.32,1579.51,242.81,331.95,320.6637,1525.80666,269.4,368.29,355.76814,512.7,700.92,677.08872,3945.537408,5394.3,5210.8938,Preliminary
Australia,Donor,DAC,Non-EU,2017-05-16,2013,366.37,472.76,490.110292,244.62,315.67,327.255089,451.87,583.1,604.49977,3215.64662,4149.28,4301.558576,1225.37,1581.15,1639.178205,1526.37,1969.54,2041.822118,1134864.472509,1464361.92,1518104.002464,3215.64662,4149.28,4301.558576,0,0,0,265.480253,342.56,355.131952,539.593885,696.26,721.812742,770.91,994.76,1031.267692,1006.99,1299.36,236.08,304.6,315.77882,1347.046512,239.97,309.66,321.024522,440.79,568.79,589.664593,3755.240505,4845.54,5023.371318,Preliminary
Australia,Donor,DAC,Non-EU,2017-05-16,2014,323.69,390.88,433.642272,151.79,183.31,203.364114,415.01,501.15,555.97581,2897.065286,3498.29,3881.002926,1143.23,1380.52,1531.548888,1506.9,1819.67,2018.741898,1154666.379491,1394293,1546828.6542,2897.065286,3498.29,3881.002926,0,0,0,0,0,0,732.181246,884.13,980.853822,733.56,885.84,982.750896,1009.14,1218.63,275.58,332.79,369.197226,1351.948122,135.98,164.21,182.174574,386.05,466.18,517.180092,3629.246532,4382.42,4861.856748,Preliminary
Australia,Donor,DAC,Non-EU,2017-05-16,2015,294.9,294.9,392.48241,102.41,102.41,136.297469,361.79,361.79,481.506311,2744.38,2744.38,3652.495342,1061.6,1061.6,1412.88344,1400.96,1400.96,1864.537664,1200091.67,1200091.67,1597202.003603,2752.19,2752.19,3662.889671,7.81,7.81,10.394329,0,0,0,741.42,741.42,986.755878,678.75,678.75,903.348375,931.03,931.03,252.28,252.28,335.759452,1239.107827,91.01,91.01,121.125209,335.66,335.66,446.729894,3485.8,3485.8,4639.25122,Preliminary
Australia,Donor,DAC,Non-EU,2017-05-16,2016,NA,NA,NA,64.1553838336775,63.63,85.601439,434.750826696455,431.190547848831,580.080644021032,2224.466692,2206.25,2968.068125,NA,NA,NA,NA,NA,NA,1218567.562223,1208588.42,1625914.001426,2232.099196,2213.82,2978.252046,7.632504,7.57,10.183921,0,0,0,817.716476,811.02,1091.065206,526.602474029411,522.29,702.636737,867.448747165371,860.34500121186,340.84627313596,338.05500121186,454.785393130315,1157.42213013031,55.8070170547548,55.35,74.462355,416.577007130175,413.165558052178,555.831625247595,3042.183168,3017.27,4059.133331,Preliminary
Austria,Donor,DAC,EU,2017-05-16,2007,210.31,226.16,165.20988,57.43,61.75,45.108375,279.76,300.86,219.77823,371.745954,399.78,292.03929,54.73,58.85,42.989925,292.32,314.38,229.65459,337639.847819,363101.89,265245.930645,1231.416608,1324.28,967.38654,859.670654,924.5,675.34725,46.633297,50.15,36.634575,450.218216,484.17,353.686185,40.02,43.03,31.433415,230.01,247.38,189.99,204.35,149.277675,180.71109,53.47,57.49,41.996445,249.43,268.25,195.956625,821.96417,883.95,645.725475,Preliminary
Austria,Donor,DAC,EU,2017-05-16,2008,210.54,242.84,168.360972,97.08,111.96,77.621868,282.04,325.29,225.523557,433.702738,500.29,346.851057,93.91,108.34,75.112122,292.93,337.9,234.26607,346843.73697,400095.36,277386.113088,1069.437144,1233.63,855.275679,635.734406,733.34,508.424622,39.079972,45.08,31.253964,416.009255,479.88,332.700804,78.5,90.56,62.785248,238.53,275.13,160.03,184.57,127.962381,190.747629,91.78,105.86,73.392738,256.28,295.59,204.932547,849.711993,980.17,679.551861,Preliminary
Austria,Donor,DAC,EU,2017-05-16,2009,253.69,287.89,206.733809,75.42,85.56,61.440636,360.25,408.83,293.580823,395.04982,448.36,321.967316,77.5,87.92,63.135352,348.34,395.3,283.86493,333077.221173,378024.48,271459.379088,446.832044,507.13,364.170053,51.782224,58.77,42.202737,35.781455,40.61,29.162041,559.189866,634.65,455.742165,61.27,69.52,49.922312,281.46,319.41,220.19,249.89,179.446009,229.368321,70.59,80.08,57.505448,313.94,356.27,255.837487,954.239686,1083.01,777.709481,Preliminary
